Date,Open,High,Low,Close,Change,%Chg,Volume
3/30/2005,1165.36,1181.54,1165.36,1181.41,16.05,1.38%,0
3/29/2005,1174.28,1179.39,1163.69,1165.36,-8.92,-0.76%,0
3/28/2005,1171.42,1179.91,1171.42,1174.28,2.86,0.24%,0
3/24/2005,1172.53,1180.11,1171.42,1171.42,-1.11,-0.09%,0
3/23/2005,1171.71,1176.26,1168.7,1172.53,0.82,0.07%,0
3/22/2005,1183.78,1189.59,1171.63,1171.71,-12.07,-1.02%,0
3/21/2005,1189.65,1189.65,1178.82,1183.78,-5.87,-0.49%,0
3/18/2005,1190.21,1191.98,1182.78,1189.65,-0.56,-0.05%,0
3/17/2005,1188.07,1193.28,1186.34,1190.21,2.14,0.18%,0
3/16/2005,1197.75,1197.75,1185.61,1188.07,-9.68,-0.81%,0
3/15/2005,1206.83,1210.54,1197.75,1197.75,-9.08,-0.75%,0
3/14/2005,1200.08,1206.83,1199.51,1206.83,6.75,0.56%,0
3/11/2005,1209.25,1213.04,1198.15,1200.08,-9.17,-0.76%,0
3/10/2005,1207.01,1211.23,1201.41,1209.25,2.24,0.19%,0
3/9/2005,1219.43,1219.43,1206.66,1207.01,-12.42,-1.02%,0
3/8/2005,1225.31,1225.69,1218.57,1219.43,-5.88,-0.48%,0
3/7/2005,1222.12,1229.11,1222.12,1225.31,3.19,0.26%,0
3/4/2005,1210.47,1224.76,1210.47,1222.12,11.65,0.96%,0
3/3/2005,1210.08,1215.72,1204.45,1210.47,0.39,0.03%,0
3/2/2005,1210.41,1215.79,1204.22,1210.08,-0.33,-0.03%,0
3/1/2005,1203.6,1212.25,1203.6,1210.41,6.81,0.57%,0
2/28/2005,1211.37,1211.37,1198.13,1203.6,-7.77,-0.64%,0
2/25/2005,1200.2,1212.15,1199.61,1211.37,11.17,0.93%,0
2/24/2005,1190.8,1200.42,1187.8,1200.2,9.4,0.79%,0
2/23/2005,1184.16,1193.52,1184.16,1190.8,6.64,0.56%,0
2/22/2005,1201.59,1202.48,1184.16,1184.16,-17.43,-1.45%,0
2/18/2005,1200.75,1202.92,1197.35,1201.59,0.84,0.07%,0
2/17/2005,1210.34,1211.33,1200.74,1200.75,-9.59,-0.79%,0
2/16/2005,1210.12,1212.44,1205.06,1210.34,0.22,0.02%,0
2/15/2005,1206.14,1212.44,1205.52,1210.12,3.98,0.33%,0
2/14/2005,1205.3,1206.93,1203.59,1206.14,0.84,0.07%,0
