Date,Adj Close,Year,,,Year,First Close,Last Close,Return for Year,Total Return 20 Years,Average Return 20 Years
4/3/1950,17.530001,1950,,,2012,1277.060059,1426.19,11.68%,206.06%,7.24%
4/4/1950,17.549999,1950,,,2013,1462.420044,1848.36,26.39%,235.90%,8.29%
4/5/1950,17.629999,1950,,,2014,1831.97998,2058.90,12.39%,293.60%,8.54%
4/6/1950,17.780001,1950,,,2015,2058.199951,2043.94,-0.69%,348.30%,8.57%
4/10/1950,17.85,1950,,,2016,2012.660034,2238.83,11.24%,224.24%,7.48%
4/11/1950,17.75,1950,,,2017,2257.830078,2673.61,18.42%,206.35%,7.43%
4/12/1950,17.940001,1950,,,2018,2695.810059,2506.85,-7.01%,176.48%,5.59%
4/13/1950,17.98,1950,,,,,,,,
4/14/1950,17.959999,1950,,,,,,,,
4/17/1950,17.879999,1950,,,,,,,,
4/18/1950,18.030001,1950,,,,,,,,
4/19/1950,18.049999,1950,,,,,,,,
4/20/1950,17.93,1950,,,,,,,,
4/21/1950,17.959999,1950,,,,,,,,
4/24/1950,17.83,1950,,,,,,,,
4/25/1950,17.83,1950,,,,,,,,
4/26/1950,17.76,1950,,,,,,,,
4/27/1950,17.860001,1950,,,,,,,,
4/28/1950,17.959999,1950,,,,,,,,
5/1/1950,18.219999,1950,,,,,,,,
5/2/1950,18.110001,1950,,,,,,,,
5/3/1950,18.27,1950,,,,,,,,
5/4/1950,18.120001,1950,,,,,,,,
5/5/1950,18.219999,1950,,,,,,,,
5/8/1950,18.27,1950,,,,,,,,
5/9/1950,18.27,1950,,,,,,,,
